Starting job on gpu13.storrs.hpc.uconn.edu
Current working directory: /home/shz19039/sasp
SLURM Job ID: 18505481
Running bn=4 alpha=0.005 seed=1
Running bn=4 alpha=0.005 seed=2
Running bn=4 alpha=0.005 seed=3
Running bn=4 alpha=0.005 seed=4
Running bn=4 alpha=0.005 seed=5
Running bn=4 alpha=0.006 seed=1
Running bn=4 alpha=0.006 seed=2
Running bn=4 alpha=0.006 seed=3
Running bn=4 alpha=0.006 seed=4
Running bn=4 alpha=0.006 seed=5
Running bn=4 alpha=0.007 seed=1
Running bn=4 alpha=0.007 seed=2
Running bn=4 alpha=0.007 seed=3
Running bn=4 alpha=0.007 seed=4
Running bn=4 alpha=0.007 seed=5
Running bn=4 alpha=0.008 seed=1
Running bn=4 alpha=0.008 seed=2
Running bn=4 alpha=0.008 seed=3
Running bn=4 alpha=0.008 seed=4
Running bn=4 alpha=0.008 seed=5
Running bn=4 alpha=0.009 seed=1
Running bn=4 alpha=0.009 seed=2
Running bn=4 alpha=0.009 seed=3
Running bn=4 alpha=0.009 seed=4
Running bn=4 alpha=0.009 seed=5
